C1_total,C2_total,C3_total,total,grade,sex,C1_1ai,C1_1aii,C1_1bi,C1_1bii,C1_1biii,C1_1biv,C1_1ci,C1_1cii,C1_1di,C1_1dii,C1_1e,C1_1eSPaG,C1_2ai,C1_2aii,C1_2bi,C1_2bii,C1_2biii,C1_2biv,C1_2bv,C1_2c,C1_2d,C1_3ai,C1_3aii,C1_3aiii,C1_3bi,C1_3bii,C1_3ci,C1_3cii,C1_3d,C2_Aa,C2_Ab,C2_Ac,C2_Adi,C2_Adii,C2_Aei,C2_Aeii,C2_Aeiii,C2_Aeiv,C2_Af,C2_Ag,C2_Bai,C2_Baii,C2_Bb,C2_Bc,C2_Bd,C2_Be,C2_Bf,C2_C,C2_CSPaG,C3_1ai,C3_1aii,C3_1bi,C3_1bii,C3_1biii,C3_1c,C3_2ai,C3_2aii,C3_2b,C3_2ci,C3_2cii,C3_2ciii,C3_2d,C3_3ai,C3_3aii,C3_3aiii,C3_3b,C3_3ci,C3_3cii,C3_3di,C3_3dii,C3_3e,C3_3f,C3_3fSPaG
56,48,43,147,5,F,1,2,1,1,0,0,0,1,1,1,5,3,4,4,1,2,3,0,2,4,3,2,0,2,1,1,3,4,4,4,3,4,4,1,1,1,0,0,2,3,1,1,0,2,0,2,3,12,4,1,2,2,0,2,3,1,2,1,0,1,1,1,3,2,4,1,2,2,0,4,0,5,3
75,58,58,191,8,M,1,3,1,1,1,1,2,4,3,2,6,4,4,4,1,2,3,1,2,3,3,3,1,2,1,3,3,5,5,2,3,4,4,3,1,3,0,1,2,6,1,1,1,1,2,4,3,12,4,0,2,2,1,3,4,2,0,2,1,1,3,3,3,2,4,1,2,2,1,4,1,10,4
48,33,18,99,3,M,1,3,1,1,0,0,1,3,0,1,3,2,4,4,1,2,3,2,0,1,4,3,1,,1,3,2,1,0,3,3,4,4,0,1,3,1,1,1,,1,1,0,0,1,2,1,3,3,,1,2,,,,2,1,2,1,1,0,0,2,2,1,1,,2,0,,0,,0
76,50,51,177,7,M,1,3,1,1,2,1,2,4,2,2,7,3,4,4,1,2,3,2,2,6,4,4,1,1,1,3,3,2,4,4,2,4,2,2,1,3,1,1,2,4,1,1,1,2,4,4,1,7,3,1,2,2,1,2,5,2,1,2,1,1,1,4,3,2,4,1,2,2,1,1,2,5,3
73,42,54,169,7,M,1,3,1,1,2,1,2,4,3,2,5,3,4,4,1,2,3,1,1,5,4,4,1,2,1,2,3,4,3,2,0,4,4,1,1,3,0,1,0,3,1,1,1,2,4,4,1,6,3,1,2,1,2,1,1,2,2,2,1,1,2,3,3,2,4,1,2,2,0,4,2,9,4
52,38,31,121,3,M,1,3,1,0,1,1,0,1,2,0,2,2,2,4,1,1,2,2,0,2,3,4,2,,1,4,3,3,4,3,4,3,3,1,1,3,2,1,1,2,1,1,1,1,0,1,3,3,3,0,2,2,1,0,0,1,0,1,1,1,1,1,3,2,4,1,2,2,1,0,0,2,3
73,51,48,172,7,M,1,3,1,1,1,1,0,5,2,2,4,3,2,4,1,2,3,2,2,5,7,4,1,1,1,3,3,3,5,3,1,3,4,0,1,3,0,0,1,4,1,1,3,1,5,4,3,9,4,0,2,2,1,3,5,2,0,2,1,1,4,2,3,2,3,1,,2,0,6,0,4,2
75,55,47,177,7,M,1,2,1,1,1,1,0,2,1,2,6,3,4,4,1,2,3,2,2,5,4,4,0,4,1,3,2,6,7,3,1,4,3,2,1,3,0,0,2,3,1,1,4,1,5,4,3,10,4,0,2,2,1,4,3,2,2,2,1,1,1,2,3,2,2,1,2,2,0,4,2,4,2
60,42,51,153,6,M,1,2,1,0,2,1,4,4,2,1,6,3,1,3,1,0,3,0,1,3,4,4,0,1,1,3,3,2,3,2,1,4,1,1,1,2,2,0,1,5,1,1,1,2,2,2,1,9,3,1,2,1,2,3,0,2,2,2,0,1,2,2,3,2,4,0,2,2,0,4,2,9,3
50,40,39,129,4,F,1,3,1,0,0,1,0,0,2,2,3,2,4,3,0,2,2,0,0,2,2,4,1,3,1,2,2,4,3,2,1,3,4,1,1,2,1,1,1,4,1,0,3,0,3,4,0,5,3,1,2,2,1,2,0,2,2,1,1,1,2,1,2,2,3,0,2,2,1,3,0,4,2
53,36,36,125,4,M,1,3,1,1,0,1,2,2,0,0,4,3,4,4,1,2,3,1,0,3,2,4,1,1,1,1,3,0,4,2,2,3,2,2,1,2,1,1,2,,1,1,2,1,3,3,1,4,2,0,2,2,,,,2,0,2,1,1,0,,3,2,3,1,2,2,1,3,1,5,3
60,50,45,155,6,M,1,3,1,1,1,1,2,4,3,2,4,3,2,4,,0,3,0,0,4,2,3,1,1,1,1,3,5,4,2,2,4,4,2,1,3,0,1,1,5,1,1,0,2,5,4,2,7,3,0,1,2,2,1,0,2,3,1,0,1,3,1,3,2,4,1,2,2,0,4,1,6,3
42,32,32,106,3,F,1,3,1,0,0,0,,2,2,0,4,3,2,4,1,2,3,0,,0,2,0,1,2,1,1,2,3,2,3,1,4,4,0,1,1,0,1,1,3,1,0,1,0,2,0,1,5,3,0,1,2,0,1,1,2,2,2,1,1,1,1,2,2,2,0,1,2,0,2,0,4,2
57,44,41,142,5,M,1,3,1,1,1,1,,3,1,2,3,3,4,2,1,2,3,2,0,0,3,4,0,2,1,3,2,4,4,2,2,4,4,2,1,2,2,0,2,3,1,1,1,0,2,4,1,7,3,0,2,1,2,0,2,1,2,1,1,1,3,,3,2,3,1,,2,0,3,3,5,3
70,49,40,159,6,M,1,3,1,1,1,1,4,4,3,2,3,3,4,2,1,2,3,2,2,5,2,4,2,4,1,3,2,2,2,4,3,2,4,0,1,3,1,2,2,4,1,1,0,1,4,4,3,6,3,1,2,2,2,0,3,1,2,2,1,1,1,1,3,2,3,1,2,2,0,0,1,5,2
52,39,30,121,3,F,1,3,1,1,1,,1,2,2,0,1,2,4,3,1,2,3,2,0,2,4,4,1,2,1,1,1,3,3,2,2,4,2,1,1,2,0,0,1,3,1,1,1,1,5,1,2,6,3,0,0,0,0,1,0,1,1,2,0,1,1,1,2,2,3,1,2,2,1,0,0,6,3
24,13,22,59,1,F,0,3,1,0,1,0,0,1,2,0,2,2,1,1,,0,2,0,0,0,3,0,1,0,1,0,2,0,1,1,1,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,,2,2,0,0,,2,0,1,0,0,1,,2,0,1,1,,2,0,1,1,4,2
60,46,39,145,5,F,1,2,1,1,2,1,2,2,3,1,2,2,4,2,1,1,3,2,2,4,3,2,1,2,1,2,3,3,4,3,2,3,3,3,1,2,1,0,1,4,1,2,1,1,3,3,3,6,3,0,2,2,2,2,1,2,1,1,0,1,1,1,2,2,2,0,0,1,1,3,1,8,3
63,52,49,164,6,F,1,3,1,1,1,1,2,4,1,2,4,3,4,2,1,2,3,0,0,2,7,3,1,2,1,1,3,2,5,2,4,2,4,2,1,2,0,0,3,4,1,1,2,1,5,4,2,9,3,1,2,1,1,3,1,2,2,2,1,1,2,3,3,2,4,1,2,2,0,1,2,6,4
43,21,26,90,2,F,0,3,1,0,0,,0,2,2,1,3,3,4,4,1,2,3,0,,0,1,1,0,1,1,2,2,3,3,2,1,0,1,0,1,,0,0,0,2,1,0,2,1,2,0,0,6,2,0,2,0,0,0,0,1,0,1,1,1,1,2,2,2,2,0,2,2,0,0,0,4,3
80,51,50,181,8,M,1,3,1,1,2,1,3,1,2,2,6,4,4,4,1,2,3,2,2,6,4,4,2,3,1,3,3,5,4,5,2,4,4,1,1,2,0,2,2,2,1,0,2,1,4,4,2,8,4,2,2,2,1,1,2,2,2,2,1,1,2,2,3,2,4,1,2,2,1,1,2,7,3
79,59,56,194,9,F,1,3,1,1,0,0,4,2,3,2,8,4,4,4,1,2,3,2,2,5,4,4,2,0,1,3,3,5,5,2,3,3,4,1,1,3,2,0,2,6,1,1,4,2,4,2,2,12,4,1,2,2,2,2,3,2,2,2,1,1,2,2,3,2,4,1,2,2,0,4,1,9,4
45,43,38,126,4,F,1,3,1,1,0,,0,2,2,0,8,3,2,1,1,1,3,0,0,0,2,4,0,1,1,2,1,2,3,3,4,3,3,1,1,2,2,1,1,2,1,0,0,2,2,1,3,8,3,1,1,2,0,,0,2,2,2,0,1,2,3,0,2,3,0,2,2,0,3,,6,4
69,49,51,169,7,M,1,3,1,1,2,0,2,3,2,1,7,3,4,4,1,,3,2,1,4,4,4,2,2,1,2,3,3,3,1,1,4,4,3,1,3,0,2,1,5,1,1,0,2,4,4,0,9,3,1,2,2,1,3,3,1,1,2,1,1,2,1,3,2,4,1,2,2,1,2,1,8,4
68,54,56,178,7,F,1,3,1,1,1,1,1,4,1,1,5,3,4,3,1,2,3,2,0,5,3,4,1,2,1,2,3,3,6,5,3,3,4,2,1,3,2,1,2,2,1,1,2,2,2,4,1,10,3,1,2,2,1,2,3,2,1,2,1,1,3,2,3,2,4,1,2,2,0,5,1,9,4
73,62,52,187,8,M,1,3,1,1,2,1,3,6,0,1,4,3,4,4,1,2,3,2,0,5,4,4,0,2,1,3,3,5,4,4,2,4,3,2,1,3,2,1,3,4,1,2,2,1,4,4,3,12,4,1,2,2,1,2,4,2,2,1,1,1,4,1,3,2,4,1,2,2,0,1,0,9,4
69,55,55,179,8,F,1,3,1,1,1,0,4,5,3,2,4,3,4,4,1,,3,,2,3,6,4,0,2,1,2,1,3,5,2,2,3,4,2,1,1,1,0,1,5,1,1,2,2,5,4,3,11,4,0,2,2,0,1,4,2,2,2,1,0,0,4,2,2,4,0,2,2,1,6,2,11,3
57,37,36,130,4,F,1,3,1,1,0,0,0,3,1,2,4,3,2,4,1,2,3,2,0,2,5,2,0,3,1,2,2,2,5,2,1,2,4,1,1,1,3,2,2,5,1,1,0,0,3,0,1,4,3,0,2,2,1,1,3,1,0,2,1,1,0,1,3,2,2,0,2,2,0,2,0,5,3
65,43,41,149,5,F,1,3,1,1,2,1,2,3,2,1,6,2,4,4,1,2,3,2,0,3,5,2,1,0,1,1,3,5,3,3,1,3,4,1,1,2,1,1,1,3,1,1,2,1,2,3,2,7,3,1,2,2,0,1,1,2,2,2,0,1,2,2,3,2,2,1,2,2,0,1,1,5,4
48,41,48,137,4,F,1,3,1,0,1,0,0,2,2,1,6,4,1,2,1,2,3,0,0,0,1,4,1,3,1,0,2,1,5,3,1,2,4,0,1,3,1,0,2,3,1,0,1,1,3,4,2,6,3,0,2,2,2,0,4,2,2,1,1,1,3,3,3,2,3,1,2,2,0,1,0,8,3
63,48,39,150,5,M,1,3,1,1,0,1,0,1,3,1,5,2,4,3,,2,3,2,2,5,4,3,2,2,1,1,3,3,4,2,3,4,4,2,1,1,2,0,0,5,1,1,1,1,3,2,1,10,4,0,2,2,1,1,4,2,1,2,1,1,2,1,2,2,3,1,2,2,0,1,0,4,2
11,13,20,44,1,F,1,2,1,0,0,0,0,0,,,1,0,2,1,,,2,,,0,,0,1,0,0,0,,0,,0,0,2,2,1,0,1,0,0,2,1,0,0,,1,0,,,2,1,0,1,0,0,0,1,2,1,1,0,1,1,0,0,2,2,1,,1,0,0,0,3,3
79,58,52,189,8,M,1,3,1,1,2,1,1,3,3,2,7,4,4,4,1,2,2,2,2,5,5,3,1,2,1,2,1,6,7,4,4,2,2,2,1,3,1,1,3,4,1,1,1,2,5,4,1,12,4,1,2,2,1,2,4,2,0,2,1,1,2,3,2,2,4,1,2,2,0,5,1,7,3
45,40,37,122,3,F,1,2,1,1,0,,,1,2,2,2,2,1,4,1,2,3,0,1,5,1,3,1,0,1,3,2,,3,1,2,3,4,2,1,2,0,0,1,4,1,1,1,1,2,4,2,5,3,0,2,2,0,0,2,2,3,1,0,1,2,1,3,2,2,1,2,2,0,1,1,4,3
62,51,47,160,6,F,1,3,1,0,0,1,0,3,0,0,6,3,4,3,1,0,3,0,0,5,4,4,2,2,1,2,2,3,8,1,0,4,4,2,1,1,1,0,2,6,1,2,3,1,2,4,2,10,4,1,2,2,1,2,4,2,1,2,1,1,2,1,1,2,4,1,2,2,0,5,1,4,3
5,4,0,9,U,M,1,1,0,0,,,,,,,,0,1,2,,,,,,,,,,,,,,,,1,0,,2,,1,,,,,,0,,,,,,,,,,,0,,,,,0,,0,,,,,,,,,,,0,,,
21,16,22,59,1,F,1,1,1,0,1,0,1,0,,,2,2,4,2,0,,,,,,2,1,1,1,,,0,,1,2,0,0,2,1,1,1,0,0,2,2,1,0,,0,2,2,,,,0,1,0,0,0,,1,1,0,,1,1,0,,2,0,1,1,2,0,3,1,3,4
65,39,55,159,6,M,1,3,1,1,1,1,2,4,2,1,4,4,2,3,1,2,3,2,1,4,2,4,0,2,1,2,3,5,3,1,3,2,1,1,1,3,0,0,1,4,1,1,0,0,0,3,3,10,4,0,2,2,2,2,4,2,2,2,1,1,2,3,0,2,4,1,2,2,1,4,2,8,4
61,56,52,169,7,F,1,3,1,0,0,,0,5,3,1,6,3,4,3,1,0,3,2,2,5,2,3,2,3,1,3,2,,2,3,4,4,4,3,1,3,1,1,3,6,1,1,1,2,5,3,1,6,3,1,2,2,2,2,2,1,3,2,0,1,2,4,3,2,4,1,2,2,0,4,2,5,3
47,36,36,119,3,M,1,3,1,1,1,1,0,3,2,2,3,2,1,3,1,2,2,2,,0,4,2,0,1,1,0,3,2,3,3,1,2,4,2,1,3,0,0,1,2,1,1,1,1,1,2,1,6,3,0,2,2,,2,2,2,3,1,1,1,0,0,2,2,3,1,2,2,0,2,1,3,2
58,34,33,125,4,M,1,3,1,1,1,1,,3,1,2,6,3,4,4,1,2,2,,0,1,2,4,0,2,1,1,2,5,4,4,1,3,3,3,1,2,0,0,3,2,1,0,1,0,0,4,0,3,3,0,2,2,0,,,1,1,1,1,1,1,0,2,2,3,1,,2,0,3,2,5,3
71,58,54,183,8,F,1,3,1,1,1,1,2,4,1,2,5,3,4,4,1,2,3,2,1,5,4,4,1,2,1,2,3,4,3,3,4,4,4,3,1,3,2,2,3,4,1,1,1,2,3,2,2,9,4,2,2,2,1,2,2,1,2,2,1,1,2,2,3,2,3,1,2,2,1,5,2,7,4
53,32,41,126,4,F,0,2,1,0,1,0,4,2,2,1,6,4,4,2,1,2,3,0,0,0,4,2,1,0,1,2,3,2,3,2,3,3,1,0,1,3,0,2,1,3,1,0,3,0,0,0,1,5,3,0,2,2,0,1,4,1,2,1,1,1,1,0,2,2,2,1,2,2,0,3,2,6,3
63,50,49,162,6,M,1,3,1,1,1,1,3,1,1,2,5,3,3,4,1,2,3,1,2,2,4,4,1,1,1,2,2,3,4,2,4,4,4,2,1,3,0,0,1,4,1,1,2,1,5,0,1,10,4,0,2,2,1,1,1,2,1,2,1,1,3,2,2,2,3,1,2,2,1,4,2,8,3
75,61,59,195,9,F,1,3,1,1,2,1,3,4,3,1,5,4,2,2,1,0,3,1,2,5,4,4,1,3,1,2,3,6,6,2,3,4,4,2,1,3,2,0,2,5,1,1,1,2,5,4,3,12,4,1,2,2,1,4,2,1,2,2,1,1,3,2,3,2,3,1,2,2,0,6,1,11,4
54,42,42,138,5,M,1,1,1,0,2,1,0,2,3,0,4,3,4,2,0,1,3,2,0,3,4,4,2,1,1,1,3,2,3,2,4,3,2,2,0,1,0,1,1,4,1,1,0,1,4,3,2,7,3,0,2,2,0,1,3,2,1,1,1,1,2,1,2,2,2,1,2,2,0,2,3,6,3
60,40,43,143,5,F,1,3,1,1,0,0,0,4,2,2,4,3,2,3,1,2,3,2,0,3,4,4,1,2,1,1,3,3,4,1,4,2,4,1,1,1,1,0,1,3,1,1,2,1,4,4,0,5,3,2,2,1,1,1,2,2,0,2,0,1,0,3,2,2,4,1,2,2,0,3,2,5,3
37,31,33,101,3,M,1,3,1,1,0,0,0,1,1,0,2,2,2,3,1,2,2,0,0,0,2,1,0,2,1,0,2,2,5,1,0,2,3,2,1,2,0,1,1,3,0,1,0,0,3,3,1,4,3,0,2,0,1,0,0,2,1,1,1,1,1,0,3,2,2,1,2,2,0,1,2,4,4
67,52,50,169,7,F,1,3,1,1,2,1,1,4,2,2,4,2,4,4,1,2,3,2,1,6,2,4,1,1,1,3,3,2,3,2,1,4,4,3,1,3,1,0,3,3,1,1,3,1,2,4,2,9,4,1,2,2,1,3,4,2,2,1,1,1,1,3,3,2,4,1,2,2,0,1,1,7,3
82,63,56,201,9,F,1,3,1,1,2,1,2,4,3,2,7,3,4,3,1,2,3,2,2,6,6,3,1,0,1,4,3,6,5,3,4,4,4,3,1,3,1,1,2,5,1,1,3,2,5,4,0,12,4,2,2,2,2,3,3,2,2,2,1,1,2,2,3,2,4,1,2,2,0,3,0,9,4
44,43,32,119,3,M,1,3,1,1,0,1,,0,0,2,3,3,4,3,1,1,3,2,,4,1,4,0,,1,0,3,2,0,4,2,2,4,2,1,1,1,0,2,2,1,1,1,1,3,4,3,5,3,0,2,2,0,1,0,1,1,2,1,1,1,0,2,2,4,1,2,2,0,3,1,2,1
59,44,38,141,5,M,1,3,1,1,2,1,,4,1,2,4,3,1,4,1,0,3,,2,5,2,3,1,2,1,2,1,4,4,4,1,3,3,1,1,1,0,0,1,4,1,1,0,2,3,4,3,8,3,0,2,0,1,2,3,2,0,2,1,0,0,2,2,2,2,1,0,2,1,3,2,5,3
53,45,44,142,5,M,1,3,1,0,1,1,0,2,2,2,3,2,4,2,1,2,3,0,0,2,4,3,1,2,1,3,1,2,4,1,2,2,3,2,1,3,2,0,2,3,1,1,0,1,3,3,2,10,3,1,2,0,0,2,2,2,1,2,1,1,1,3,3,2,4,1,2,1,0,2,0,8,3
58,48,51,157,6,M,1,3,1,1,1,0,1,4,0,2,6,3,4,3,1,2,2,0,0,4,5,4,0,1,1,0,2,3,3,3,1,4,4,2,1,2,1,2,1,5,1,1,1,1,3,2,2,8,3,0,2,2,1,3,0,2,2,2,1,1,2,4,3,2,4,1,,2,0,4,2,7,4
73,51,44,168,7,M,1,2,1,1,0,1,1,5,2,1,4,3,4,2,1,2,2,2,2,6,5,4,2,4,1,3,3,4,4,3,2,3,4,1,1,0,0,1,2,4,1,1,1,1,5,4,3,10,4,1,2,2,2,1,1,2,2,1,1,1,2,3,3,2,3,1,2,2,0,0,1,6,3
74,48,49,171,7,F,1,3,1,0,1,1,1,4,2,2,5,3,4,4,1,2,2,2,1,5,4,4,2,3,1,2,3,5,5,2,3,4,4,1,1,3,0,0,3,5,1,1,0,2,2,0,2,10,4,2,2,2,0,2,2,2,2,1,1,1,1,1,3,2,4,1,2,2,1,4,2,6,3
67,57,56,180,8,M,1,3,1,1,0,1,2,4,3,1,4,4,2,4,,1,3,2,2,6,4,4,1,1,1,2,3,2,4,3,4,2,3,3,1,3,2,0,2,4,1,1,2,1,4,4,2,11,4,2,2,2,1,3,2,2,1,1,1,1,3,3,3,2,4,1,2,2,1,0,2,11,4
48,40,42,130,4,M,1,3,1,0,1,,1,1,2,2,1,2,2,2,1,2,2,2,1,,4,3,0,1,1,2,3,3,4,2,1,2,4,1,1,3,1,1,1,4,1,0,0,2,3,4,1,5,3,0,2,2,0,0,3,2,2,2,1,1,1,1,3,2,3,1,2,2,0,3,1,5,3
82,64,60,206,9,M,1,3,1,1,2,0,2,6,2,1,7,4,4,4,1,2,3,2,2,4,5,4,1,3,1,2,3,5,6,5,4,4,4,3,1,3,1,1,2,4,1,1,3,1,5,4,2,11,4,2,2,2,2,3,3,2,2,2,1,1,3,2,3,2,4,1,2,2,0,5,3,7,4
72,53,55,180,8,F,1,3,1,1,0,1,2,4,3,1,5,4,4,4,1,2,3,2,2,5,6,4,1,2,1,2,2,2,3,2,4,4,3,2,0,3,2,1,1,6,1,2,2,2,5,1,2,6,4,1,2,2,0,3,3,1,2,2,1,1,2,4,3,2,3,1,2,2,0,4,2,9,3
22,13,13,48,1,F,1,3,1,0,1,0,,1,0,0,0,1,,4,0,1,2,0,0,0,1,1,1,0,1,1,2,0,0,2,0,0,2,0,1,1,0,1,1,0,0,0,,1,2,0,0,1,1,0,0,0,0,,0,2,0,2,0,1,1,,3,2,0,0,,1,0,1,0,,
23,5,17,45,1,F,1,1,1,0,0,,,0,,,2,2,2,3,,2,2,1,,,2,1,1,0,1,1,,,0,1,0,0,1,0,1,1,1,,,0,,,,,,,,,,0,0,,,0,,2,1,2,0,1,1,,2,2,1,0,1,1,0,1,0,1,1
67,56,45,168,7,M,1,3,1,1,0,1,2,1,1,2,5,3,2,2,1,2,3,2,2,3,5,4,1,3,1,4,3,4,4,4,2,4,4,3,1,3,1,2,2,4,1,1,1,2,4,2,0,11,4,1,2,2,1,1,1,2,2,2,1,1,1,2,1,2,4,1,2,2,0,1,1,8,4
53,34,42,129,4,M,1,3,1,1,2,1,0,2,1,0,4,3,1,4,1,2,3,2,2,4,2,2,1,1,0,1,3,2,3,1,2,3,3,2,1,1,0,1,1,2,1,1,0,1,2,3,1,5,3,2,2,2,0,2,1,2,1,1,1,1,1,3,3,2,3,1,2,2,0,1,0,6,3
43,39,30,112,3,F,1,3,1,1,1,0,,1,1,2,2,3,0,3,1,1,3,0,1,0,4,4,0,0,1,1,2,3,3,1,0,3,3,2,1,1,0,1,1,5,1,0,0,1,2,2,2,9,4,0,2,2,1,0,0,2,0,2,1,1,1,0,2,2,1,1,0,1,0,2,0,6,3
42,37,36,115,3,F,1,2,1,0,0,0,1,1,3,0,3,3,1,4,1,2,3,0,0,0,3,2,0,0,1,1,3,3,3,1,3,4,4,1,1,2,0,0,0,1,1,1,3,1,1,3,0,6,4,0,2,2,0,1,,1,2,1,1,1,2,0,2,2,3,1,2,2,0,4,0,4,3
