id,gender,dob,yg,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,missing,Q1_score,Q2_score,Q3_score,Q4_score,Q5_score,Q6_score,Q7_score,Q8_score,Q9_score,Q10_score,Q11_score,Q12_score,Q13_score,Q14_score,Q15_score,Q16_score,Q17_score,Q18_score,Q19_score,Q20_score
3hFJhY-LvCLEyij1YZ03J,F,2010-09-08,7,C,A,D,B,D,B,D,E,E,C,E,B,A,B,A,E,A,C,A,E,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3sdMcbJB_0UwuOI8kwnqz,F,2010-11-04,7,C,A,D,B,D,E,B,E,D,D,A,B,A,B,D,A,E,C,C,A,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1
3wSoL0h-o5NxGbIU5Ok9c,M,2011-06-14,7,C,A,D,B,A,E,D,C,C,D,A,D,A,B,A,B,B,E,B,A,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
4sZiRfepP1Q2WZ_ZeONi8,F,2011-04-27,7,C,A,D,B,D,B,C,D,A,D,A,B,D,D,B,E,C,A,B,E,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
56en00TmOMDlp72LtNpw0,M,2011-05-14,7,C,A,D,B,D,D,D,B,C,C,D,B,A,E,B,A,D,A,C,A,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
5Glm1-0T8qHaGiXyJ9QaQ,F,2011-04-08,7,C,A,D,B,D,B,D,E,C,D,A,D,A,E,D,A,A,A,C,E,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0
5TssCzDPAoJpsQn5nJVSR,F,2011-07-01,7,D,A,D,B,E,D,A,E,B,D,A,B,A,D,E,B,A,E,B,A,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
5w1c79kFdwldmExj1krlA,F,2010-11-06,7,C,A,D,B,D,E,D,E,B,C,A,D,E,B,D,B,A,A,D,E,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
6FabxNAsms3JRqp7gpTng,M,2011-03-24,7,C,A,B,B,D,D,E,E,A,D,A,D,A,A,D,B,B,A,C,A,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1
6a94doKoedskzDSdFQgY4,M,2011-06-14,7,C,A,D,B,D,B,E,E,A,D,A,B,A,B,D,A,A,B,C,E,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
84Kd1JdyqxvpIm5ZbGGKQ,F,2010-11-27,7,C,A,D,B,D,E,C,C,C,D,A,D,A,B,E,D,D,A,D,A,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
89RqQj7e4UkbiCsjQZhML,M,2011-07-14,7,C,A,C,E,D,D,D,E,A,D,D,B,E,B,E,A,C,A,C,A,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
89bQ_nTPF6-jGRPSv4Klw,M,2010-12-26,7,C,A,D,B,D,B,D,B,A,B,NA,A,B,A,D,A,A,B,B,A,1,1,1,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,1
8Oa9_MZ9cfxk1waEj5syq,F,2010-10-18,7,C,A,C,B,D,B,A,D,A,E,D,D,A,B,D,A,D,A,C,A,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
9JkM8_p_PR6_CTG9FA5gB,M,2010-11-22,7,A,NA,B,C,D,E,A,C,NA,B,E,B,D,B,D,A,E,D,E,A,2,0,NA,0,0,1,1,0,1,NA,0,0,0,0,1,0,0,0,0,0,1
9r8tGWR2rM0awZ1jBwpkL,M,2010-09-05,7,C,A,C,B,D,B,D,E,A,C,A,D,E,B,A,A,C,A,B,A,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
AKHMEk8zTUK4UcWhHguaZ,M,2011-01-31,7,C,A,B,B,D,B,D,E,A,C,A,C,A,E,D,E,A,C,E,A,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
AOvo6vHi9fAfz0n0Hb02s,F,2011-07-08,7,C,A,D,B,D,E,B,C,C,D,A,D,A,B,C,B,C,A,D,A,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
A_OIy4GEKVgZkkit6Co4X,M,2011-03-01,7,C,C,E,B,D,C,A,E,B,D,C,B,E,C,B,A,C,E,C,D,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AlbMHMRZUNPyRTZZQKFCf,M,2011-07-16,7,C,A,C,B,D,B,D,B,C,D,A,D,A,B,E,E,A,A,B,E,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0
BILGd1EC8AESgt6_fLea3,F,2011-01-08,7,C,A,B,B,D,B,D,E,A,C,E,B,A,B,B,A,A,A,C,A,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
BLAS9_2YcAJ1pxDo_4ASy,M,2011-08-23,7,C,A,D,D,E,A,A,E,E,A,E,B,A,B,D,D,A,C,C,D,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
CPdi4tB-ia_OLN8NR055E,F,2011-08-04,7,C,A,C,B,D,B,D,E,A,D,A,B,E,B,D,A,D,A,C,E,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Ck_WVFxSDMhnD3bkrM5Un,F,2010-12-26,7,C,A,D,B,D,B,D,B,C,D,A,C,A,B,A,A,D,A,B,A,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1
DL81ko1Cpeqq8dTmHP2GW,M,2010-10-26,7,C,A,D,B,D,B,A,E,C,D,A,B,A,D,A,C,E,B,C,E,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
DSAsd13tHA77HKUHLs_xd,M,2011-01-15,7,C,A,D,B,D,E,C,B,C,D,A,D,A,B,D,B,A,A,C,E,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0
E2eQUoTu7MQkLg5RP5gLM,F,2010-09-07,7,C,A,C,B,D,B,A,D,E,C,A,E,A,B,B,A,B,A,B,A,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
E8M0ZUJsRu2SCREqfYsYf,F,2011-08-22,7,C,A,C,B,D,B,D,E,A,C,E,B,A,D,A,A,A,A,B,A,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
ENbKYVKcP_QSklXqY6Wa1,F,2011-01-06,7,C,A,D,B,D,B,D,E,A,D,A,B,E,D,A,C,A,A,C,E,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
ETxz8vIauOXzeAOp0p5kx,F,2011-01-24,7,C,A,D,B,D,B,A,E,C,D,A,B,E,A,D,A,A,A,C,E,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0
EyvnEQalY6nUqQ7BQgqxL,F,2011-06-27,7,C,A,D,B,D,D,D,E,D,D,A,D,E,B,E,A,D,B,B,A,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
FfBXvNEhJ3qkSsCuCn-EG,M,2010-09-28,7,C,A,C,B,D,B,E,E,E,D,A,B,E,A,D,A,A,B,B,A,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
G4iHCaaZxVdgqBlEbg9r3,F,2011-04-03,7,C,A,D,B,D,A,D,E,C,D,A,C,A,B,D,D,B,A,B,E,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
GVaXQXQyjO3idja8wv1dM,M,2011-06-13,7,C,A,C,B,C,E,D,D,B,D,D,C,D,E,D,A,B,B,C,A,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
GaGxfNU0w76gORLuoiUVc,M,2011-06-08,7,C,A,D,B,D,B,A,B,C,D,A,C,A,B,B,C,B,A,B,E,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
GhBBKMDhLNDRvBw8EhNZA,M,2011-02-24,7,D,A,D,B,D,B,D,B,E,D,D,B,E,B,D,A,A,A,B,E,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
H4kgr1ACAr0BAh1ru_Mey,M,2011-03-07,7,C,A,D,B,D,B,A,E,C,E,E,C,A,B,B,B,A,A,E,C,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0
H5bPTq0_HK_qNQm99pb01,M,2011-08-04,7,C,A,C,B,D,A,B,D,A,B,A,D,E,B,A,A,C,A,C,A,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1
IqIL4TR_N6UC_zHCX7JTp,M,2011-05-12,7,C,A,D,B,D,D,A,A,E,A,A,B,E,A,D,B,B,B,C,C,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
IrZFriAMiemwVrUlLQRvF,F,2010-10-31,7,C,E,B,B,D,A,C,B,A,D,D,D,E,D,C,B,A,A,E,E,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
J8zthvObGDVnRJjuBIbto,F,2011-03-29,7,C,A,D,B,D,B,A,E,C,D,A,B,A,D,B,D,D,A,B,E,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
JwTEnvD7mxp1JKhp7Vx0C,M,2011-04-30,7,A,B,C,D,E,C,A,B,C,E,C,A,B,D,C,E,C,A,B,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
JyyHa-jL3KIBmMcFbg8x3,M,2010-09-20,7,C,A,B,C,A,B,NA,E,B,A,D,A,C,B,NA,A,B,C,C,B,2,1,1,0,0,0,0,NA,0,0,0,0,0,0,1,NA,0,0,0,0,0
K5MuH2oyiaSCRh9gJAH52,M,2011-05-26,7,C,A,D,B,D,D,D,E,E,D,A,B,A,A,A,A,A,A,B,E,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0
Kc3eWwDxDvnN_eKJ_A7rc,M,2010-10-18,7,A,A,D,B,D,B,D,E,E,B,A,B,B,B,A,A,A,A,B,A,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
KixFU60Zf7km1J5d8uTgU,F,2011-03-24,7,C,A,D,B,D,B,D,E,A,B,A,B,E,A,D,A,D,B,C,E,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Km7h1nKCQqC6rX1J5naZF,M,2011-04-08,7,C,A,C,A,D,A,D,D,A,B,A,B,E,D,B,C,A,A,C,A,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
LhJD1r0bdYg0ZMT8lxM2V,F,2011-02-10,7,C,A,C,B,D,B,E,E,A,D,A,D,E,B,E,D,A,A,B,A,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
M4FNwgAlY5W2cDZDRfssG,F,2011-04-19,7,C,A,NA,B,D,B,A,E,C,D,A,B,A,B,D,A,A,A,C,A,1,1,1,NA,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1
MFXvVP26Jynq5mnFzSFwv,F,2010-09-24,7,A,C,A,B,B,C,E,A,C,B,A,D,C,B,E,NA,B,C,A,E,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,NA,0,0,0,0
MR4hhNgq_3R9Y-CBxZW_F,F,2011-04-13,7,C,E,D,B,D,B,C,D,E,A,A,B,A,B,D,A,D,B,C,E,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
N0LYpzFAtQ-5a14kZamDy,M,2010-10-13,7,C,D,C,B,C,A,D,D,A,D,A,D,A,B,E,A,A,A,B,C,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0
NNzgii9YYAwhKxDz0OZIe,M,2011-04-17,7,C,A,D,B,D,B,D,C,C,D,A,D,A,B,E,A,B,A,C,A,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1
NqlGhtMJUsuZNhL_hcsOz,F,2010-09-19,7,C,A,C,B,D,B,D,E,C,D,A,B,D,B,D,E,D,A,B,A,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
OSdX_nXLTCdURnWDJ7c1D,M,2011-01-05,7,C,A,B,E,C,B,A,B,D,A,D,A,NA,C,D,A,A,NA,C,D,2,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,NA,0,0
P54GALZYhI8Q9nlevZl-Q,F,2011-02-04,7,C,A,C,B,D,B,D,E,C,D,D,B,E,E,A,A,D,A,C,E,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
P9J09_GiADn_IDbSr2UVJ,M,2011-03-07,7,C,A,D,B,D,B,D,D,A,D,A,B,D,A,B,A,E,C,E,C,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
PLnO2VcLu5NcZuWmrR6PZ,F,2011-08-28,7,C,A,B,B,D,B,D,B,E,E,A,C,A,E,B,C,D,C,B,E,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
PcUS_mC1nv_R0U5Ex5Xtf,F,2011-08-12,7,C,A,D,B,D,B,D,B,A,C,A,A,D,B,B,E,D,E,C,A,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
PyqL6dQZfEr4PBOFyBgj2,F,2011-02-08,7,C,A,D,B,D,B,D,B,C,D,A,B,E,B,D,D,D,A,B,E,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
Qx1_Xespc5VFKYKyXzvpu,F,2011-07-13,7,C,A,D,B,D,B,D,B,B,D,A,B,A,B,D,A,B,A,B,A,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1
R8SXFPoWxPaSEFvThCWlE,F,2011-03-04,7,C,A,B,B,D,B,A,A,C,E,D,C,A,D,D,A,A,A,C,E,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
REg7ADvXyNPJrVqdC1SIT,M,2011-03-19,7,C,A,B,B,D,B,D,E,A,D,A,D,D,B,D,A,A,D,C,E,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
RG2FGu_RwjNyu3HhgmBfX,F,2011-04-07,7,C,D,D,D,A,D,B,E,A,B,A,B,C,A,D,C,A,C,B,A,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
RNDPrjWNwkEB99JgDZehC,F,2011-02-04,7,C,A,D,B,C,B,D,B,E,D,C,D,A,A,D,A,A,B,B,E,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
RuMSuRukpWowlrvjWg4hu,M,2011-08-06,7,C,A,D,B,D,E,B,E,D,D,A,D,A,B,B,D,D,A,B,E,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0
TBVK-I9Cq2-6ozT_VpUxf,M,2011-04-20,7,C,A,C,B,D,B,D,E,A,D,A,B,E,A,A,A,A,A,B,A,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
TKHugL_pB13S0Uib-JOdu,F,2011-02-11,7,C,A,D,B,D,E,D,C,C,D,A,D,A,B,B,A,A,A,B,A,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1
TbMT1GhWU_HQEQ5VUdTG5,F,2011-06-20,7,C,A,D,B,D,B,D,E,C,D,A,D,A,B,E,A,A,C,B,E,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0
TdhXQMHyG8hgWAf8N-a9H,F,2011-05-01,7,C,A,D,B,D,E,D,B,C,D,A,B,A,D,E,D,B,A,B,E,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
ULhBmgl8srC4hG0r2QvWY,M,2011-02-22,7,C,A,B,B,D,E,B,C,A,D,A,B,C,A,E,C,A,A,C,A,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1
UZarpgWRgEdkcDb865-Vq,M,2011-04-11,7,C,A,C,B,D,B,D,B,C,D,A,D,A,B,D,B,D,A,B,E,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0
UmJMmuea_cQXk6z3E3jFF,F,2011-02-11,7,C,A,D,B,D,A,A,B,C,D,A,C,A,B,D,A,B,A,B,A,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1
VQAMPVtwuYKtMgtZJXhsP,M,2011-07-20,7,C,C,B,B,E,C,B,C,E,C,A,C,D,D,B,C,E,D,C,B,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
VZ0Z09xOxsiLRV7vmFDs1,M,2011-02-20,7,C,A,C,A,A,D,E,E,D,A,A,D,A,B,E,A,B,C,E,A,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
Vmf6yA5eP0OkulItroJQ8,F,2011-04-24,7,C,A,D,B,D,B,D,C,C,D,A,D,A,E,A,D,B,A,B,A,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1
Vtqq87-4BWmZZdvDe-ccB,F,2010-12-06,7,C,A,D,B,D,E,B,D,C,D,A,D,B,B,B,B,A,E,C,D,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0
Wpgmas__8ig6bRLS-vpGV,M,2011-03-02,7,C,A,D,B,D,B,D,C,C,D,A,D,A,B,D,A,B,A,B,A,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1
X5jw3kLNq0b1fYe2_tUND,M,2011-05-15,7,C,A,D,C,A,A,B,NA,A,A,B,A,C,B,B,A,D,B,E,B,1,1,1,1,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0
X7vaXKEublOA15Bxm-bvR,F,2010-09-30,7,C,A,D,B,D,E,C,C,C,D,A,D,A,B,D,B,D,C,D,E,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0
Xfa80Ld9vktqiiPxfcU_V,F,2011-02-06,7,C,A,D,B,D,A,D,B,C,D,A,D,A,B,E,D,D,B,B,A,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
YyQdLQI4AFWV24UXRKXXO,M,2011-02-27,7,A,D,C,D,D,B,E,E,B,B,A,B,C,NA,B,E,E,A,E,D,1,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,0,1,0,0
Z7KFOJSK72R4vCatY-31x,F,2011-08-05,7,C,A,D,B,D,E,D,C,C,D,A,D,A,B,B,C,A,A,B,E,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0
ZDGEH5jCdoBFuyyAQJMKZ,M,2011-03-05,7,C,A,C,B,D,B,D,D,A,D,A,B,A,B,E,A,D,A,C,A,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1
Zl6QMFfzMbVVog-gYHNzq,F,2010-12-09,7,C,A,C,B,D,B,E,A,B,D,A,B,E,B,A,A,A,C,D,D,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
Zo6agdPdAshrUHdLMU0Tn,F,2010-09-08,7,C,A,D,B,D,B,D,E,A,C,A,B,A,E,D,A,D,A,B,A,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
_0hH0hk3bQbUhghwxAXut,F,2011-08-13,7,C,A,D,B,D,B,D,D,C,D,A,D,A,B,B,E,A,A,D,A,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1
_fDb8UF7eWonB-IaQI--G,M,2011-04-04,7,C,A,D,B,D,B,D,B,B,D,A,D,A,B,D,A,A,A,B,A,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1
_lofT8Gfe5OAD-82A_8WD,M,2011-07-11,7,C,A,D,B,D,B,A,B,C,C,A,D,A,B,B,A,A,A,C,E,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0
_uBwAtkNFMNgtxB-G12OH,F,2010-09-19,7,C,A,D,B,D,B,D,C,C,D,A,D,A,B,D,A,B,A,B,A,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1
_w8dzNu4vGsWkk6kB2M43,F,2011-08-30,7,C,A,D,B,D,B,A,E,C,D,A,B,A,B,D,C,A,A,B,A,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1
aOf8tdIzXjt936jYic52d,M,2011-08-18,7,C,A,D,B,D,E,D,B,C,D,A,B,E,B,C,A,A,E,B,A,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1
aYAnHcKLNTD5UpkDG4cPW,M,2011-07-19,7,C,A,C,B,D,B,A,E,C,D,A,B,E,B,D,B,A,B,C,D,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0
age2cDNPJ-93K3WBRURBT,F,2011-08-18,7,D,A,E,D,B,A,C,E,D,C,E,D,D,E,A,B,C,D,A,D,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
bHdbsI243qh8LBuTgsmEW,F,2011-04-06,7,C,A,D,B,D,B,B,E,C,D,A,C,D,E,B,C,A,C,B,A,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1
bXJPGCRPg0-MLEJm0h7H9,M,2011-07-18,7,C,A,D,B,D,B,D,B,B,D,A,D,E,D,A,A,C,C,B,E,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
cW0Lfd02QLMscJ3uQfbQ7,F,2010-12-23,7,C,A,D,B,D,E,D,C,C,D,A,D,A,B,E,B,A,E,B,E,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
d7oUzneB9b_rD2pRrWkzN,M,2011-08-12,7,C,A,D,B,C,B,D,B,D,D,A,B,A,B,B,A,A,C,D,E,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0
dAEWiEJPx-FTYHDheU_XC,F,2011-04-11,7,C,A,D,B,D,E,B,C,C,D,A,D,E,B,C,B,A,A,D,A,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
dcHzOGXAK_ywgQk9a5q6U,M,2011-06-07,7,C,A,D,B,D,E,B,B,C,D,A,D,A,B,A,D,B,A,B,A,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1
e1qUgPzaTLnilINJdqLxj,M,2011-01-28,7,C,A,A,B,D,D,D,E,E,D,A,B,E,B,D,A,A,A,B,E,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0
e36ynUdobJFtgzWh3C3O4,M,2011-01-27,7,A,B,C,B,A,B,C,B,C,B,C,B,E,D,C,E,A,B,C,A,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
e4q9Itl1r7eQ5DaFnYJVU,F,2011-02-25,7,C,A,D,B,D,E,B,C,C,D,A,D,A,B,B,B,A,E,D,A,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
e6LIGQG2bFvp9DbLEbzzL,F,2011-08-15,7,C,A,D,B,D,B,D,B,D,D,A,D,A,B,D,A,B,A,B,A,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1
ebqePPZ5RX106Rjb_egwZ,M,2010-12-05,7,A,B,A,B,A,B,D,A,B,E,D,C,B,A,B,C,D,A,C,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fgSOsZCEjuQLeru_SgLcJ,M,2011-07-27,7,C,A,C,B,D,B,D,E,A,D,A,D,A,B,D,E,B,C,B,A,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
ftrOInc1KKfROYAednp51,M,2010-12-22,7,C,A,D,B,D,B,D,C,C,D,A,B,D,B,E,C,A,A,C,E,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0
fu9OMRiBNWNUVR4SkgnmG,M,2011-05-01,7,C,A,D,B,D,E,B,E,A,C,A,B,E,D,E,A,A,C,B,E,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
